22	75	1394	1500
108	177	1394	1500
215	397	1394	1500
340	425	1394	1500
470	555	1394	1500
597	658	1394	1500
700	800	1394	1500
840	940	1394	1500
975	1075	1394	1500
975	1075	1260	1360
975	1075	1130	1230
975	1075	1000	1100
840	940	1000	1100
700	800	1000	1100
580	667	1000	1100
468	544	1000	1100
330	430	1000	1100
202	297	1000	1100
77	177	1000	1100
77	177	895	970
77	177	775	875
77	177	650	745
77	177	525	625
202	297	525	625
330	430	525	625
468	544	525	625
580	667	525	625
700	817	525	625
860	975	525	625
1020	1130	525	625
1170	1270	525	625
1170	1270	650	745
1170	1270	775	875
1170	1270	895	970
1170	1270	1000	1100
1170	1270	1138	1243
1170	1270	1277	1368
1170	1270	1394	1500
1300	1420	1394	1500
1450	1550	1394	1500
1788	1830	1394	1500
1655	1752	1394	1500
1655	1752	1277	1368
1655	1752	1150	1245
1655	1752	1018	1118
1655	1752	885	985
1655	1752	754	858
1655	1745	630	728
1784	1830	630	728
1784	1830	563	609
1800	1820	450	470
